Id;aÁoes;ativo;fechamento_ajustado
127;PINE_ON;PINE9;0.00
128;PINE_ON;PINE3;0.00
129;PINE_PN;PINE4;0.00
130;PINE_PN;PINE2;0.00
131;BDRX;BDRX11;0.00
132;Betapart_Participacoes_ON;BETP3B;0.00
133;BIC_MONARK_ON;BMKS3;0.00
134;Bilibili;CB1IL34;0.00
135;BIOMM_ON;BIOM3;0.00
136;BIOMM_ON;BIOM11;0.00
137;BIOMM_ON;BIOM1;0.00
138;BIOMM_ON;BIOM9;0.00
139;BIOSEV_ON;BSEV3;0.00
140;BURGUER_KING_BRASIL_ON;BKBR3;0.00
141;Boa_Vista_ON;BOAS3;0.00
142;BOMBRIL_PN;BOBR4;0.00
143;BOMBRIL_ON;BOBR3;0.00
144;BR_MALLS_PAR_ON;BRML3;0.00
145;BR_PROPERT_ON;BRPR3;0.00
146;Bradesco_Real_Estate_Por...;BCIA12;0.00
147;BRADESPAR_PN;BRAP4;0.00
148;BRADESPAR_ON;BRAP3;0.00
149;BR_BROKERS_ON;BBRK3;0.00
150;BRASIL_AGRO_ON;AGRO3;0.00
151;BRASKEM_PNB;BRKM6;0.00
152;BRASKEM_PNA;BRKM5;0.00
153;BRASKEM_ON;BRKM3;0.00
154;Brazil_Energy_ON;BNRG3L;0.00
155;BRAZIL_REALT;BZRS-CRI11B0;0.00
156;Brazilian_Securities_Cia...;BSCS-CRIT2B0;0.00
157;Brazilian_Securities_Cia...;BSCS-CRIT3B0;0.00
158;Brazilian_Securities_Cia...;BSCS-CRIT4B0;0.00
159;BRB_BANCO_ON;BSLI3;0.00
160;BRB_BANCO_PN;BSLI4;0.00
161;BRC_SECURIT;BRCS-CRI71B0;0.00
162;Brc_Securitizadora;BRCS-CRI1AB0;0.00
163;BRF_S/A_ON;BRFS3;0.00
164;Brilasa_Britagem_Laminac..._PNB;BLSA6L;0.00
165;BRQ_ON;BRQB3;0.00
166;C&A_ON;CEAB3;0.00
167;Cabinda_Participacoes_ON;CABI3B;0.00
168;Caconde_Participacoes_ON;CACO3B;0.00
169;Caconde_Participacoes_ON;CACO9B;0.00
170;Caianda_Participacoes_ON;CAIA3B;0.00
171;CAMBUCI_PN;CAMB4;0.00
172;Cambuci_ON;CAMB3;0.00
173;CAMIL_ALIMENTOS_ON;CAML3;0.00
174;CAMILA_PN_PN;ACML4L;0.00
175;Capitalpart_Participacoes_ON;CPTP3B;0.00
176;CARREFOUR_ON;CRFB3;0.00
177;CCR_ON;CCRO3;0.00
178;CCX_CARVAO_ON;CCXC3;0.00
